Hidden_Nodes,Activation,Lambda_Value,Fold,ELM_Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
41,sigmoid,0.0,0,101,0.7058823529411765,0.6571428571428571,0.8846153846153846,0.8125,0.52,0.7540983606557377,0.8273381294964028,0.7023076923076923,0.43591825526665573
41,sigmoid,0.0,0,102,0.7843137254901961,0.7586206896551724,0.8461538461538461,0.8181818181818182,0.72,0.8,0.8270676691729323,0.783076923076923,0.5714533736737374
41,sigmoid,0.0,0,103,0.7058823529411765,0.6774193548387096,0.8076923076923077,0.75,0.6,0.7368421052631579,0.7777777777777778,0.7038461538461538,0.4174393166995065
41,sigmoid,0.0,0,104,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
41,sigmoid,0.0,0,105,0.7254901960784313,0.7142857142857143,0.7692307692307693,0.7391304347826086,0.68,0.7407407407407407,0.7575757575757576,0.7246153846153847,0.451318607446686
41,sigmoid,0.0,1,101,0.7058823529411765,0.7272727272727273,0.64,0.6896551724137931,0.7692307692307693,0.6808510638297872,0.6557377049180327,0.7046153846153846,0.41306140597069063
41,sigmoid,0.0,1,102,0.8235294117647058,0.9,0.72,0.7741935483870968,0.9230769230769231,0.8,0.75,0.8215384615384616,0.6584514504920518
41,sigmoid,0.0,1,103,0.7254901960784313,0.7894736842105263,0.6,0.6875,0.8461538461538461,0.6818181818181818,0.6302521008403361,0.7230769230769231,0.4613064531574389
41,sigmoid,0.0,1,104,0.7058823529411765,0.7777777777777778,0.56,0.6666666666666666,0.8461538461538461,0.6511627906976745,0.5932203389830508,0.7030769230769232,0.42486800363503546
41,sigmoid,0.0,1,105,0.8627450980392157,0.95,0.76,0.8064516129032258,0.9615384615384616,0.8444444444444444,0.7916666666666666,0.8607692307692307,0.7387888284229002
41,sigmoid,0.0,2,101,0.7450980392156863,0.75,0.72,0.7407407407407407,0.7692307692307693,0.7346938775510204,0.7258064516129032,0.7446153846153847,0.48998517333228575
41,sigmoid,0.0,2,102,0.7843137254901961,0.8181818181818182,0.72,0.7586206896551724,0.8461538461538461,0.7659574468085106,0.7377049180327869,0.783076923076923,0.5714533736737374
41,sigmoid,0.0,2,103,0.6666666666666666,0.6666666666666666,0.64,0.6666666666666666,0.6923076923076923,0.6530612244897959,0.6451612903225806,0.6661538461538461,0.3328201177351375
41,sigmoid,0.0,2,104,0.7647058823529411,0.782608695652174,0.72,0.75,0.8076923076923077,0.75,0.7317073170731707,0.7638461538461538,0.5301448025829223
41,sigmoid,0.0,2,105,0.7647058823529411,0.782608695652174,0.72,0.75,0.8076923076923077,0.75,0.7317073170731707,0.7638461538461538,0.5301448025829223
41,sigmoid,0.0,3,101,0.6862745098039216,0.7647058823529411,0.52,0.6470588235294118,0.8461538461538461,0.6190476190476191,0.5555555555555556,0.6830769230769231,0.3882901373576604
41,sigmoid,0.0,3,102,0.6862745098039216,0.7647058823529411,0.52,0.6470588235294118,0.8461538461538461,0.6190476190476191,0.5555555555555556,0.6830769230769231,0.3882901373576604
41,sigmoid,0.0,3,103,0.7058823529411765,0.75,0.6,0.6774193548387096,0.8076923076923077,0.6666666666666666,0.625,0.7038461538461538,0.4174393166995065
41,sigmoid,0.0,3,104,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
41,sigmoid,0.0,3,105,0.7254901960784313,0.8666666666666667,0.52,0.6666666666666666,0.9230769230769231,0.65,0.5652173913043478,0.7215384615384616,0.48611489620015996
41,sigmoid,0.0,4,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
41,sigmoid,0.0,4,102,0.8431372549019608,0.9047619047619048,0.76,0.8,0.9230769230769231,0.8260869565217391,0.7851239669421488,0.8415384615384616,0.6938347017889732
41,sigmoid,0.0,4,103,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
41,sigmoid,0.0,4,104,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
41,sigmoid,0.0,4,105,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
42,sigmoid,0.0,0,101,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
42,sigmoid,0.0,0,102,0.7058823529411765,0.7037037037037037,0.7307692307692307,0.7083333333333334,0.68,0.7169811320754716,0.7251908396946565,0.7053846153846154,0.4114026455337116
42,sigmoid,0.0,0,103,0.7254901960784313,0.7,0.8076923076923077,0.7619047619047619,0.64,0.75,0.7835820895522388,0.7238461538461538,0.45474301401034056
42,sigmoid,0.0,0,104,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
42,sigmoid,0.0,0,105,0.7647058823529411,0.75,0.8076923076923077,0.782608695652174,0.72,0.7777777777777778,0.7954545454545454,0.7638461538461538,0.5301448025829223
42,sigmoid,0.0,1,101,0.7254901960784313,0.7894736842105263,0.6,0.6875,0.8461538461538461,0.6818181818181818,0.6302521008403361,0.7230769230769231,0.4613064531574389
42,sigmoid,0.0,1,102,0.7647058823529411,0.8421052631578947,0.64,0.71875,0.8846153846153846,0.7272727272727273,0.6722689075630253,0.7623076923076924,0.5424327604368505
42,sigmoid,0.0,1,103,0.6862745098039216,0.7368421052631579,0.56,0.65625,0.8076923076923077,0.6363636363636364,0.5882352941176471,0.6838461538461539,0.38018014587802723
42,sigmoid,0.0,1,104,0.7647058823529411,0.9333333333333333,0.56,0.6944444444444444,0.9615384615384616,0.7,0.6086956521739131,0.7607692307692309,0.5721977424022716
42,sigmoid,0.0,1,105,0.7843137254901961,0.8181818181818182,0.72,0.7586206896551724,0.8461538461538461,0.7659574468085106,0.7377049180327869,0.783076923076923,0.5714533736737374
42,sigmoid,0.0,2,101,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
42,sigmoid,0.0,2,102,0.803921568627451,0.8260869565217391,0.76,0.7857142857142857,0.8461538461538461,0.7916666666666666,0.7723577235772358,0.803076923076923,0.6089709977191585
42,sigmoid,0.0,2,103,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
42,sigmoid,0.0,2,104,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
42,sigmoid,0.0,2,105,0.7843137254901961,0.7692307692307693,0.8,0.8,0.7692307692307693,0.7843137254901961,0.7936507936507936,0.7846153846153847,0.5692307692307692
42,sigmoid,0.0,3,101,0.6862745098039216,0.6956521739130435,0.64,0.6785714285714286,0.7307692307692307,0.6666666666666666,0.6504065040650406,0.6853846153846154,0.3724924123104497
42,sigmoid,0.0,3,102,0.6274509803921569,0.6666666666666666,0.48,0.6060606060606061,0.7692307692307693,0.5581395348837209,0.5084745762711864,0.6246153846153846,0.2607144567760445
42,sigmoid,0.0,3,103,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
42,sigmoid,0.0,3,104,0.7254901960784313,0.8666666666666667,0.52,0.6666666666666666,0.9230769230769231,0.65,0.5652173913043478,0.7215384615384616,0.48611489620015996
42,sigmoid,0.0,3,105,0.7058823529411765,0.75,0.6,0.6774193548387096,0.8076923076923077,0.6666666666666666,0.625,0.7038461538461538,0.4174393166995065
42,sigmoid,0.0,4,101,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
42,sigmoid,0.0,4,102,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
42,sigmoid,0.0,4,103,0.7254901960784313,0.72,0.72,0.7307692307692307,0.7307692307692307,0.72,0.72,0.7253846153846153,0.45076923076923076
42,sigmoid,0.0,4,104,0.7647058823529411,0.782608695652174,0.72,0.75,0.8076923076923077,0.75,0.7317073170731707,0.7638461538461538,0.5301448025829223
42,sigmoid,0.0,4,105,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
43,sigmoid,0.0,0,101,0.7450980392156863,0.7407407407407407,0.7692307692307693,0.75,0.72,0.7547169811320755,0.7633587786259542,0.7446153846153847,0.48998517333228575
43,sigmoid,0.0,0,102,0.7450980392156863,0.696969696969697,0.8846153846153846,0.8333333333333334,0.6,0.7796610169491526,0.8394160583941606,0.7423076923076923,0.5069447770645309
43,sigmoid,0.0,0,103,0.803921568627451,0.7857142857142857,0.8461538461538461,0.8260869565217391,0.76,0.8148148148148148,0.8333333333333334,0.803076923076923,0.6089709977191585
43,sigmoid,0.0,0,104,0.7450980392156863,0.7407407407407407,0.7692307692307693,0.75,0.72,0.7547169811320755,0.7633587786259542,0.7446153846153847,0.48998517333228575
43,sigmoid,0.0,0,105,0.7647058823529411,0.71875,0.8846153846153846,0.8421052631578947,0.64,0.7931034482758621,0.8455882352941176,0.7623076923076924,0.5424327604368505
43,sigmoid,0.0,1,101,0.7843137254901961,0.7692307692307693,0.8,0.8,0.7692307692307693,0.7843137254901961,0.7936507936507936,0.7846153846153847,0.5692307692307692
43,sigmoid,0.0,1,102,0.7843137254901961,0.8888888888888888,0.64,0.7272727272727273,0.9230769230769231,0.7441860465116279,0.6779661016949152,0.7815384615384615,0.5890215504940264
43,sigmoid,0.0,1,103,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.8238461538461539,0.6476923076923077
43,sigmoid,0.0,1,104,0.6862745098039216,0.7647058823529411,0.52,0.6470588235294118,0.8461538461538461,0.6190476190476191,0.5555555555555556,0.6830769230769231,0.3882901373576604
43,sigmoid,0.0,1,105,0.6862745098039216,0.7368421052631579,0.56,0.65625,0.8076923076923077,0.6363636363636364,0.5882352941176471,0.6838461538461539,0.38018014587802723
43,sigmoid,0.0,2,101,0.8431372549019608,0.8695652173913043,0.8,0.8214285714285714,0.8846153846153846,0.8333333333333334,0.8130081300813008,0.8423076923076923,0.6877971928553948
43,sigmoid,0.0,2,102,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
43,sigmoid,0.0,2,103,0.7843137254901961,0.7916666666666666,0.76,0.7777777777777778,0.8076923076923077,0.7755102040816326,0.7661290322580645,0.7838461538461539,0.5685677011308599
43,sigmoid,0.0,2,104,0.7254901960784313,0.72,0.72,0.7307692307692307,0.7307692307692307,0.72,0.72,0.7253846153846153,0.45076923076923076
43,sigmoid,0.0,2,105,0.7254901960784313,0.72,0.72,0.7307692307692307,0.7307692307692307,0.72,0.72,0.7253846153846153,0.45076923076923076
43,sigmoid,0.0,3,101,0.6862745098039216,0.7368421052631579,0.56,0.65625,0.8076923076923077,0.6363636363636364,0.5882352941176471,0.6838461538461539,0.38018014587802723
43,sigmoid,0.0,3,102,0.7058823529411765,0.7777777777777778,0.56,0.6666666666666666,0.8461538461538461,0.6511627906976745,0.5932203389830508,0.7030769230769232,0.42486800363503546
43,sigmoid,0.0,3,103,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
43,sigmoid,0.0,3,104,0.6274509803921569,0.6666666666666666,0.48,0.6060606060606061,0.7692307692307693,0.5581395348837209,0.5084745762711864,0.6246153846153846,0.2607144567760445
43,sigmoid,0.0,3,105,0.7254901960784313,0.8666666666666667,0.52,0.6666666666666666,0.9230769230769231,0.65,0.5652173913043478,0.7215384615384616,0.48611489620015996
43,sigmoid,0.0,4,101,0.8235294117647058,0.8333333333333334,0.8,0.8148148148148148,0.8461538461538461,0.8163265306122449,0.8064516129032258,0.823076923076923,0.647150228929434
43,sigmoid,0.0,4,102,0.8627450980392157,0.95,0.76,0.8064516129032258,0.9615384615384616,0.8444444444444444,0.7916666666666666,0.8607692307692307,0.7387888284229002
43,sigmoid,0.0,4,103,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
43,sigmoid,0.0,4,104,0.7843137254901961,0.8181818181818182,0.72,0.7586206896551724,0.8461538461538461,0.7659574468085106,0.7377049180327869,0.783076923076923,0.5714533736737374
43,sigmoid,0.0,4,105,0.6666666666666666,0.6818181818181818,0.6,0.6551724137931034,0.7307692307692307,0.6382978723404256,0.6147540983606558,0.6653846153846154,0.33386542211916725
44,sigmoid,0.0,0,101,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
44,sigmoid,0.0,0,102,0.6862745098039216,0.65625,0.8076923076923077,0.7368421052631579,0.56,0.7241379310344828,0.7720588235294118,0.6838461538461539,0.38018014587802723
44,sigmoid,0.0,0,103,0.6862745098039216,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6,0.7142857142857143,0.746268656716418,0.6846153846153846,0.37504578475079636
44,sigmoid,0.0,0,104,0.7254901960784313,0.7142857142857143,0.7692307692307693,0.7391304347826086,0.68,0.7407407407407407,0.7575757575757576,0.7246153846153847,0.451318607446686
44,sigmoid,0.0,0,105,0.7058823529411765,0.6774193548387096,0.8076923076923077,0.75,0.6,0.7368421052631579,0.7777777777777778,0.7038461538461538,0.4174393166995065
44,sigmoid,0.0,1,101,0.7647058823529411,0.8421052631578947,0.64,0.71875,0.8846153846153846,0.7272727272727273,0.6722689075630253,0.7623076923076924,0.5424327604368505
44,sigmoid,0.0,1,102,0.7843137254901961,0.85,0.68,0.7419354838709677,0.8846153846153846,0.7555555555555555,0.7083333333333334,0.7823076923076924,0.5781140725612034
44,sigmoid,0.0,1,103,0.7450980392156863,0.7727272727272727,0.68,0.7241379310344828,0.8076923076923077,0.723404255319149,0.6967213114754098,0.7438461538461538,0.492257389822214
44,sigmoid,0.0,1,104,0.8235294117647058,0.9444444444444444,0.68,0.7575757575757576,0.9615384615384616,0.7906976744186046,0.7203389830508474,0.8207692307692308,0.6710983239235219
44,sigmoid,0.0,1,105,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.0,2,101,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
44,sigmoid,0.0,2,102,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
44,sigmoid,0.0,2,103,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,0.0,2,104,0.803921568627451,0.8,0.8,0.8076923076923077,0.8076923076923077,0.8,0.8,0.8038461538461539,0.6076923076923076
44,sigmoid,0.0,2,105,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
44,sigmoid,0.0,3,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
44,sigmoid,0.0,3,102,0.6666666666666666,0.75,0.48,0.6285714285714286,0.8461538461538461,0.5853658536585366,0.5172413793103449,0.6630769230769231,0.35138657838985177
44,sigmoid,0.0,3,103,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.0,3,104,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
44,sigmoid,0.0,3,105,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.0,4,101,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.8238461538461539,0.6476923076923077
44,sigmoid,0.0,4,102,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.0,4,103,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
44,sigmoid,0.0,4,104,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
44,sigmoid,0.0,4,105,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
45,sigmoid,0.0,0,101,0.7450980392156863,0.7096774193548387,0.8461538461538461,0.8,0.64,0.7719298245614035,0.8148148148148148,0.7430769230769231,0.49777669463035495
45,sigmoid,0.0,0,102,0.7254901960784313,0.7,0.8076923076923077,0.7619047619047619,0.64,0.75,0.7835820895522388,0.7238461538461538,0.45474301401034056
45,sigmoid,0.0,0,103,0.7254901960784313,0.6875,0.8461538461538461,0.7894736842105263,0.6,0.7586206896551724,0.8088235294117647,0.7230769230769231,0.4613064531574389
45,sigmoid,0.0,0,104,0.7254901960784313,0.6875,0.8461538461538461,0.7894736842105263,0.6,0.7586206896551724,0.8088235294117647,0.7230769230769231,0.4613064531574389
45,sigmoid,0.0,0,105,0.7647058823529411,0.71875,0.8846153846153846,0.8421052631578947,0.64,0.7931034482758621,0.8455882352941176,0.7623076923076924,0.5424327604368505
45,sigmoid,0.0,1,101,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
45,sigmoid,0.0,1,102,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
45,sigmoid,0.0,1,103,0.7450980392156863,0.75,0.72,0.7407407407407407,0.7692307692307693,0.7346938775510204,0.7258064516129032,0.7446153846153847,0.48998517333228575
45,sigmoid,0.0,1,104,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
45,sigmoid,0.0,1,105,0.7843137254901961,0.85,0.68,0.7419354838709677,0.8846153846153846,0.7555555555555555,0.7083333333333334,0.7823076923076924,0.5781140725612034
45,sigmoid,0.0,2,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
45,sigmoid,0.0,2,102,0.7647058823529411,0.782608695652174,0.72,0.75,0.8076923076923077,0.75,0.7317073170731707,0.7638461538461538,0.5301448025829223
45,sigmoid,0.0,2,103,0.6274509803921569,0.6363636363636364,0.56,0.6206896551724138,0.6923076923076923,0.5957446808510638,0.5737704918032787,0.6261538461538462,0.2546694382676438
45,sigmoid,0.0,2,104,0.803921568627451,0.8,0.8,0.8076923076923077,0.8076923076923077,0.8,0.8,0.8038461538461539,0.6076923076923076
45,sigmoid,0.0,2,105,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
45,sigmoid,0.0,3,101,0.6274509803921569,0.6875,0.44,0.6,0.8076923076923077,0.5365853658536586,0.47413793103448276,0.6238461538461538,0.2668549015130478
45,sigmoid,0.0,3,102,0.6274509803921569,0.6875,0.44,0.6,0.8076923076923077,0.5365853658536586,0.47413793103448276,0.6238461538461538,0.2668549015130478
45,sigmoid,0.0,3,103,0.7058823529411765,0.7777777777777778,0.56,0.6666666666666666,0.8461538461538461,0.6511627906976745,0.5932203389830508,0.7030769230769232,0.42486800363503546
45,sigmoid,0.0,3,104,0.7058823529411765,0.7777777777777778,0.56,0.6666666666666666,0.8461538461538461,0.6511627906976745,0.5932203389830508,0.7030769230769232,0.42486800363503546
45,sigmoid,0.0,3,105,0.7058823529411765,0.7777777777777778,0.56,0.6666666666666666,0.8461538461538461,0.6511627906976745,0.5932203389830508,0.7030769230769232,0.42486800363503546
45,sigmoid,0.0,4,101,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
45,sigmoid,0.0,4,102,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
45,sigmoid,0.0,4,103,0.7843137254901961,0.8181818181818182,0.72,0.7586206896551724,0.8461538461538461,0.7659574468085106,0.7377049180327869,0.783076923076923,0.5714533736737374
45,sigmoid,0.0,4,104,0.7843137254901961,0.7916666666666666,0.76,0.7777777777777778,0.8076923076923077,0.7755102040816326,0.7661290322580645,0.7838461538461539,0.5685677011308599
45,sigmoid,0.0,4,105,0.6862745098039216,0.68,0.68,0.6923076923076923,0.6923076923076923,0.68,0.68,0.6861538461538461,0.3723076923076923
